,Description,Price,Review,Rating,Url
2,ASUS TUF Gaming F15 Core i5 10th Gen ,49990,505.0,4.4,https://www.flipkart.com//asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGF9Z7JYCFBKAP.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
7,RedmiBook Pro Core i5 11th Gen ,39990,502.0,4.1,https://www.flipkart.com//redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG6OwQFobAspakWf67MpPz2ofPvQ9uN8f0UbTLKCfqxvdQ%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
12,acer Aspire 7 Core i5 12th Gen ,61990,361.0,4.3,https://www.flipkart.com//acer-aspire-7-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-5g-a715-51g-gaming-laptop/p/itmb33526c6a57b8?pid=COMGGJZVRQHWHDVH&lid=LSTCOMGGJZVRQHWHDVHT5QLFD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGGJZVRQHWHDVH.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
13,ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5,54990,199.0,4.4,https://www.flipkart.com//asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGFYQZZFRKBNWV.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
1,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,45990,186.0,4.3,https://www.flipkart.com//lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG7Ckv%2BuNQsgZlrAFwHDuc5BMWKisRa%2FYuQTUzHVXP9aTA%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
6,ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen ,69990,176.0,4.5,https://www.flipkart.com//asus-vivobook-s14-oled-2022-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itmf9337acb97e70?pid=COMGCG2GXGJGEYUW&lid=LSTCOMGCG2GXGJGEYUWI64YYF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGCG2GXGJGEYUW.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
5,HP 14s Intel Core i3 11th Gen ,37990,173.0,4.2,https://www.flipkart.com//hp-14s-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGG63H9BFFUYVY.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
14,ASUS VivoBook K15 OLED (2022) Ryzen 5 Hexa Core AMD R5,46990,161.0,4.4,https://www.flipkart.com//asus-vivobook-k15-oled-2022-ryzen-5-hexa-core-amd-r5-5500u-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-km513ua-l502ws-thin-light-laptop/p/itmbe79f1096e453?pid=COMG87FFPDWUZAKE&lid=LSTCOMG87FFPDWUZAKEIKWIHF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMG87FFPDWUZAKE.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
10,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,55990,136.0,4.4,https://www.flipkart.com//asus-vivobook-k15-oled-ryzen-7-octa-core-amd-r7-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l713ws-thin-light-laptop/p/itmb3a48eb017e5c?pid=COMGB6DZKZZVUQSW&lid=LSTCOMGB6DZKZZVUQSWWWGAPR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGB6DZKZZVUQSW.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
3,ASUS VivoBook 14 (2021) Celeron Dual Core ,21990,112.0,4.1,https://www.flipkart.com//asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGBH774UHWUFQF.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
