Description,Price,Review,Rating,Url
Lenovo IdeaPad Slim 3 Core i3 11th Gen ,33490,,,https://www.flipkart.com//lenovo-ideapad-slim-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl05-thin-light-laptop/p/itm409e7356d6162?pid=COMGN29YGMXF5DNH&lid=LSTCOMGN29YGMXF5DNHZKTYJV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG4s2tbL5O4oFvho7C46bIqvNxXP1yc8vPtJzLaLw%2B352A%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U ,45990,186,4.3,https://www.flipkart.com//lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG7Ckv%2BuNQsgZlrAFwHDuc5BMWKisRa%2FYuQTUzHVXP9aTA%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS TUF Gaming F15 Core i5 10th Gen ,49990,505,4.4,https://www.flipkart.com//asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGF9Z7JYCFBKAP.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS VivoBook 14 (2021) Celeron Dual Core ,21990,112,4.1,https://www.flipkart.com//asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGBH774UHWUFQF.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS Vivobook 15 Core i3 11th Gen ,35990,42,4.2,https://www.flipkart.com//asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-thin-light-laptop/p/itmc6461360364e0?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGA5TUCZAV4HGH.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
HP 14s Intel Core i3 11th Gen ,37990,173,4.2,https://www.flipkart.com//hp-14s-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGG63H9BFFUYVY.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen ,69990,176,4.5,https://www.flipkart.com//asus-vivobook-s14-oled-2022-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-s3402za-km502ws-thin-light-laptop/p/itmf9337acb97e70?pid=COMGCG2GXGJGEYUW&lid=LSTCOMGCG2GXGJGEYUWI64YYF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGCG2GXGJGEYUW.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
RedmiBook Pro Core i5 11th Gen ,39990,502,4.1,https://www.flipkart.com//redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=search&iid=en_h1MpMMun7jgyT1sqSUfQnmK57mnucHTVo1YS9ar7vG6OwQFobAspakWf67MpPz2ofPvQ9uN8f0UbTLKCfqxvdQ%3D%3D&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
DELL Vostro Core i3 11th Gen ,37990,20,4,https://www.flipkart.com//dell-vostro-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm94af7689e9e9a?pid=COMGH53NQJHWAYP7&lid=LSTCOMGH53NQJHWAYP7R1RMWX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGH53NQJHWAYP7.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
Lenovo Intel Celeron Dual Core ,25919,55,4.1,https://www.flipkart.com//lenovo-intel-celeron-dual-core-8-gb-256-gb-ssd-windows-11-home-81wq00mqin-81wq00nxin-laptop/p/itm2560cd9192f02?pid=COMGDMXVJJB2HGMY&lid=LSTCOMGDMXVJJB2HGMYLAIFLM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=search&iid=de3a8396-aca7-43c8-9b56-d155ebe089e9.COMGDMXVJJB2HGMY.SEARCH&ssid=2oxryql5ts0000001679028787783&qH=312f91285e048e09
